dt_time,ws,wd
24-02-2024 02:38:00,3.24,196.5
24-02-2024 02:39:00,0.81,149.2
24-02-2024 02:40:00,1.03,330.4
24-02-2024 02:41:00,1.43,137.1
24-02-2024 02:42:00,3.38,158
24-02-2024 02:43:00,1.39,150.1
24-02-2024 02:44:00,2.15,116.1
24-02-2024 02:45:00,1.52,337.1
24-02-2024 02:46:00,1.14,276.9
24-02-2024 02:47:00,0.22,289.2
24-02-2024 02:48:00,1.16,137.7
24-02-2024 02:49:00,1.07,90.6
24-02-2024 02:50:00,4.07,173.3
24-02-2024 02:51:00,0.22,132.9
24-02-2024 02:52:00,1.41,272.1
24-02-2024 02:53:00,1.43,197.1
24-02-2024 02:54:00,1.52,349.1
24-02-2024 02:55:00,0.13,299.7
24-02-2024 02:56:00,0.13,117.5
24-02-2024 02:57:00,0,38.2
24-02-2024 02:58:00,0.96,200.7
24-02-2024 02:59:00,0.69,336.8
24-02-2024 03:00:00,0.58,245.7
24-02-2024 03:01:00,1.19,222.5
24-02-2024 03:02:00,0.31,166.9
24-02-2024 03:03:00,0.65,342
24-02-2024 03:04:00,0.49,115.2
24-02-2024 03:05:00,0.78,110.1
24-02-2024 03:06:00,1.03,224
24-02-2024 03:07:00,0.69,116.1
24-02-2024 03:08:00,1.05,74.6
24-02-2024 03:09:00,1.43,351.7
24-02-2024 03:10:00,2.28,184.2
24-02-2024 03:11:00,1.72,151.6
24-02-2024 03:12:00,0.36,221.1
24-02-2024 03:13:00,0.22,233.3
24-02-2024 03:14:00,0.34,342.7
24-02-2024 03:15:00,1.72,46.6
24-02-2024 03:16:00,0.43,57.2
24-02-2024 03:17:00,0.47,49.1
24-02-2024 03:18:00,1.83,127.9
24-02-2024 03:19:00,2.39,49.1
24-02-2024 03:20:00,2.57,159
24-02-2024 03:21:00,1.43,30.4
24-02-2024 03:22:00,0.47,123.6
24-02-2024 03:23:00,1.43,145.6
24-02-2024 03:24:00,0.96,67.7
24-02-2024 03:25:00,1.61,128.3
24-02-2024 03:26:00,0.63,106.8
24-02-2024 03:27:00,0,137.3
24-02-2024 03:28:00,0.87,190.8
24-02-2024 03:29:00,0.89,173.1
24-02-2024 03:30:00,1.5,151.1
24-02-2024 03:31:00,0.27,61.4
24-02-2024 03:32:00,0.51,130.1
24-02-2024 03:33:00,0.56,62.3
24-02-2024 03:34:00,0.69,85.9
24-02-2024 03:35:00,1.39,183.4
24-02-2024 03:36:00,0.56,219.8
24-02-2024 03:37:00,1.21,155.1
24-02-2024 03:38:00,3.24,151.9
24-02-2024 03:39:00,0.54,129
24-02-2024 03:40:00,0.67,97.3
24-02-2024 03:41:00,0.54,151.9
24-02-2024 03:42:00,0.25,172.8
24-02-2024 03:43:00,0.76,131.9
24-02-2024 03:44:00,2.91,139.1
24-02-2024 03:45:00,2.19,114.6
24-02-2024 03:46:00,0.58,133.7
24-02-2024 03:47:00,1.28,167.2
24-02-2024 03:48:00,2.62,126.5
24-02-2024 03:49:00,0.54,150.2
24-02-2024 03:50:00,0.78,170.2
24-02-2024 03:51:00,0.85,144.4
24-02-2024 03:52:00,1.05,120.6
24-02-2024 03:53:00,1.21,159.8
24-02-2024 03:54:00,2.39,199.2
24-02-2024 03:55:00,1.63,128.5
24-02-2024 03:56:00,1.41,152.5
24-02-2024 03:57:00,0.89,82.9
24-02-2024 03:58:00,1.95,132.8
24-02-2024 03:59:00,0.49,171.3
24-02-2024 04:00:00,2.13,104.2
24-02-2024 04:01:00,1.32,113.8
24-02-2024 04:02:00,3.42,113.5
24-02-2024 04:03:00,4.27,177.9
24-02-2024 04:04:00,1.21,134.8
24-02-2024 04:05:00,2.33,139.4
24-02-2024 04:06:00,0.81,80.3
24-02-2024 04:07:00,3,123.6
24-02-2024 04:08:00,3.02,150.9
24-02-2024 04:09:00,2.33,115.7
24-02-2024 04:10:00,1.3,152.4
24-02-2024 04:11:00,2.55,120.7
24-02-2024 04:12:00,1.83,113
24-02-2024 04:13:00,1.34,142.9
24-02-2024 04:14:00,3.22,131.9
24-02-2024 04:15:00,2.82,185.8
24-02-2024 04:16:00,3.24,115
24-02-2024 04:17:00,1.23,160
24-02-2024 04:18:00,1.16,167.4
24-02-2024 04:19:00,3.31,138.6
24-02-2024 04:20:00,2.08,133.7
24-02-2024 04:21:00,0.87,349.8
24-02-2024 04:22:00,1.19,145.3
24-02-2024 04:23:00,0.96,127.9
24-02-2024 04:24:00,1.95,160.1
24-02-2024 04:25:00,3.8,122.8
24-02-2024 04:26:00,0.92,123.6
24-02-2024 04:27:00,0.43,189.4
24-02-2024 04:28:00,1.32,182.5
24-02-2024 04:29:00,0.92,178.9
24-02-2024 04:30:00,1.21,107.2
24-02-2024 04:31:00,2.68,128.2
24-02-2024 04:32:00,0.76,203.9
24-02-2024 04:33:00,2.26,150.9
24-02-2024 04:34:00,0.18,286.4
24-02-2024 04:35:00,0.72,92.9
24-02-2024 04:36:00,0.94,81.6
24-02-2024 04:37:00,0.54,117.6
24-02-2024 04:38:00,0.4,85.4
24-02-2024 04:39:00,0.27,119.8
24-02-2024 04:40:00,1.07,240.8
24-02-2024 04:41:00,0.94,59.1
24-02-2024 04:42:00,1.79,178.8
24-02-2024 04:43:00,1.43,213.6
24-02-2024 04:44:00,0.72,96
24-02-2024 04:45:00,0.92,238.1
24-02-2024 04:46:00,0.54,92.5
24-02-2024 04:47:00,1.86,95.7
24-02-2024 04:48:00,3.69,159.7
24-02-2024 04:49:00,2.33,159.7
24-02-2024 04:50:00,3.38,145
24-02-2024 04:51:00,1.07,131.9
24-02-2024 04:52:00,0.09,174.4
24-02-2024 04:53:00,1.25,171.4
24-02-2024 04:54:00,1.52,198.8
24-02-2024 04:55:00,2.1,176.8
24-02-2024 04:56:00,1.79,166.8
24-02-2024 04:57:00,1.43,138.5
24-02-2024 04:58:00,0.43,198.1
24-02-2024 04:59:00,0.13,198.1
24-02-2024 05:00:00,0.67,157.9
24-02-2024 05:01:00,0.92,224.3
24-02-2024 05:02:00,0.69,125.7
24-02-2024 05:03:00,0.18,85.8
24-02-2024 05:04:00,1.45,118.1
24-02-2024 05:05:00,0.94,148.9
24-02-2024 05:06:00,0.74,301.6
24-02-2024 05:07:00,0.31,117.7
24-02-2024 05:08:00,1.03,143.8
24-02-2024 05:09:00,0.65,105.2
24-02-2024 05:10:00,0.51,23
24-02-2024 05:11:00,0.45,90
24-02-2024 05:12:00,1.36,12.8
24-02-2024 05:13:00,0.45,97.6
24-02-2024 05:14:00,1.21,104.7
24-02-2024 05:15:00,0.63,104.7
24-02-2024 05:16:00,1.03,198.1
24-02-2024 05:17:00,0.85,198.9
24-02-2024 05:18:00,0.31,254
24-02-2024 05:19:00,0.47,57.1
24-02-2024 05:20:00,0.51,11.9
24-02-2024 05:21:00,0.78,134
24-02-2024 05:22:00,1.28,132.2
24-02-2024 05:23:00,0.29,126.6
24-02-2024 05:24:00,0.27,126.6
24-02-2024 05:25:00,0.47,126.6
24-02-2024 05:26:00,0.74,158.2
24-02-2024 05:27:00,0.31,112.2
24-02-2024 05:28:00,0.74,29.5
24-02-2024 05:29:00,0.07,6.9
24-02-2024 05:30:00,0.09,6.9
24-02-2024 05:31:00,0.51,6.9
24-02-2024 05:32:00,0.38,56.4
24-02-2024 05:33:00,0.29,10
24-02-2024 05:34:00,0,324.9
24-02-2024 05:35:00,0.45,337.3
24-02-2024 05:36:00,0.45,337.3
24-02-2024 05:37:00,0.94,180.5
24-02-2024 05:38:00,0,356.2
24-02-2024 05:39:00,0.27,356.2
24-02-2024 05:40:00,0.74,104.5
24-02-2024 05:41:00,0.16,104.5
24-02-2024 05:42:00,0.2,219.7
24-02-2024 05:43:00,0.72,70.4
24-02-2024 05:44:00,0.11,70.4
24-02-2024 05:45:00,0.13,70.4
24-02-2024 05:46:00,0.04,70.4
24-02-2024 05:47:00,0.34,70.4
24-02-2024 05:48:00,0.67,93.4
24-02-2024 05:49:00,0.72,129.3
24-02-2024 05:50:00,1.23,170.1
24-02-2024 05:51:00,1.48,155.1
24-02-2024 05:52:00,1.83,136.5
24-02-2024 05:53:00,2.01,156.1
24-02-2024 05:54:00,2.21,149.7
24-02-2024 05:55:00,2.17,122.2
24-02-2024 05:56:00,0.54,100.9
24-02-2024 05:57:00,2.26,162.8
24-02-2024 05:58:00,0.89,182
24-02-2024 05:59:00,1.3,151.9
24-02-2024 06:00:00,0.69,188.1
24-02-2024 06:01:00,0.65,138.6
24-02-2024 06:02:00,0.4,198.1
24-02-2024 06:03:00,1.45,153.1
24-02-2024 06:04:00,0.96,213.3
24-02-2024 06:05:00,0.58,202.9
24-02-2024 06:06:00,0.65,296.3
24-02-2024 06:07:00,0.38,285.2
24-02-2024 06:08:00,0.69,76.7
24-02-2024 06:09:00,0.58,41.2
24-02-2024 06:10:00,1.19,237
24-02-2024 06:11:00,0.4,129.9
24-02-2024 06:12:00,1.45,224.7
24-02-2024 06:13:00,0.47,315.7
24-02-2024 06:14:00,0.18,315.7
24-02-2024 06:15:00,0,315.7
24-02-2024 06:16:00,0.13,315.7
24-02-2024 06:17:00,0.27,315.7
24-02-2024 06:18:00,1.59,113.6
24-02-2024 06:19:00,0.69,124.2
24-02-2024 06:20:00,0.22,138
24-02-2024 06:21:00,0.11,146.1
24-02-2024 06:22:00,0.29,146.1
24-02-2024 06:23:00,0.58,166.2
24-02-2024 06:24:00,0.04,172.7
24-02-2024 06:25:00,2.24,148.8
24-02-2024 06:26:00,0.6,167.5
24-02-2024 06:27:00,1.25,175.9
24-02-2024 06:28:00,0.2,87.6
24-02-2024 06:29:00,0.09,304.3
24-02-2024 06:30:00,0.47,291.1
24-02-2024 06:31:00,0.76,248.1
24-02-2024 06:32:00,0.2,326.7
24-02-2024 06:33:00,0.11,222.2
24-02-2024 06:34:00,0,222.2
24-02-2024 06:35:00,0,222.2
24-02-2024 06:36:00,0.07,222.2
24-02-2024 06:37:00,0.34,222.2
24-02-2024 06:38:00,0.76,72.3
24-02-2024 06:39:00,0.31,16
24-02-2024 06:40:00,0,1.7
24-02-2024 06:41:00,0.76,344.2
24-02-2024 06:42:00,0.29,316.7
24-02-2024 06:43:00,0.18,316.7
24-02-2024 06:44:00,0.18,316.7
24-02-2024 06:45:00,0.07,117.7
24-02-2024 06:46:00,0.58,101.8
24-02-2024 06:47:00,0.74,200.7
24-02-2024 06:48:00,0,162.3
24-02-2024 06:49:00,0.72,235.6
24-02-2024 06:50:00,0.22,71.8
24-02-2024 06:51:00,0.58,79.7
24-02-2024 06:52:00,0,19
24-02-2024 06:53:00,0.2,19
24-02-2024 06:54:00,0.13,0.2
24-02-2024 06:55:00,0.51,0.2
24-02-2024 06:56:00,0,0.2
24-02-2024 06:57:00,0.72,196.6
24-02-2024 06:58:00,0.31,195.2
24-02-2024 06:59:00,0.27,239.5
24-02-2024 07:00:00,0.31,239.5
24-02-2024 07:01:00,0.69,4.6
24-02-2024 07:02:00,0.67,22.6
24-02-2024 07:03:00,0.47,0.2
24-02-2024 07:04:00,0.47,324.6
24-02-2024 07:05:00,1.59,126.1
24-02-2024 07:06:00,0.85,73.8
24-02-2024 07:07:00,0.18,69.1
24-02-2024 07:08:00,0.2,69.1
24-02-2024 07:09:00,0.34,69.1
24-02-2024 07:10:00,0,69.1
24-02-2024 07:11:00,0,69.1
24-02-2024 07:12:00,0.11,69.1
24-02-2024 07:13:00,0,69.1
24-02-2024 07:14:00,0.11,69.1
24-02-2024 07:15:00,0.25,69.1
24-02-2024 07:16:00,0,265.6
24-02-2024 07:17:00,0.34,265.6
24-02-2024 07:18:00,1.36,108
24-02-2024 07:19:00,0.94,168.2
24-02-2024 07:20:00,0.49,155.5
24-02-2024 07:21:00,2.33,112.5
24-02-2024 07:22:00,2.55,172.9
24-02-2024 07:23:00,0.6,175.6
24-02-2024 07:24:00,1.97,226
24-02-2024 07:25:00,0.87,234.9
24-02-2024 07:26:00,0.07,10.4
24-02-2024 07:27:00,0.78,200
24-02-2024 07:28:00,3.18,139.7
24-02-2024 07:29:00,2.68,142.2
24-02-2024 07:30:00,2.33,213.5
24-02-2024 07:31:00,2.24,163.2
24-02-2024 07:32:00,0.92,190.2
24-02-2024 07:33:00,4.3,146.3
24-02-2024 07:34:00,1.01,169.6
24-02-2024 07:35:00,1.36,152
24-02-2024 07:36:00,1.86,194.4
24-02-2024 07:37:00,2.1,223.1
24-02-2024 07:38:00,1.14,213.1
24-02-2024 07:39:00,1.66,197.8
24-02-2024 07:40:00,2.82,162.1
24-02-2024 07:41:00,3.02,189.1
24-02-2024 07:42:00,2.1,179.2
24-02-2024 07:43:00,1.43,177.3
24-02-2024 07:44:00,3.27,179.4
24-02-2024 07:45:00,3.13,196.9
24-02-2024 07:46:00,1.99,131.1
24-02-2024 07:47:00,2.51,144.7
24-02-2024 07:48:00,2.75,141.4
24-02-2024 07:49:00,2.53,160.6
24-02-2024 07:50:00,2.08,173.7
24-02-2024 07:51:00,0.36,66.4
24-02-2024 07:52:00,1.52,138.1
24-02-2024 07:53:00,1.95,88.1
24-02-2024 07:54:00,3.15,152.2
24-02-2024 07:55:00,2.44,138.9
24-02-2024 07:56:00,0.45,158.3
24-02-2024 07:57:00,0.36,218.3
24-02-2024 07:58:00,2.48,147.1
24-02-2024 07:59:00,1.01,221.3
24-02-2024 08:00:00,1.19,266
24-02-2024 08:01:00,1.19,187.3
24-02-2024 08:02:00,0,88.1
24-02-2024 08:03:00,0.74,194.3
24-02-2024 08:04:00,1.7,197.5
24-02-2024 08:05:00,0.45,244.5
24-02-2024 08:06:00,0.92,359.8
24-02-2024 08:07:00,0.65,69.3
24-02-2024 08:08:00,1.83,175.3
24-02-2024 08:09:00,0.74,271.6
24-02-2024 08:10:00,0.2,0.3
24-02-2024 08:11:00,0.43,201.4
24-02-2024 08:12:00,2.46,222
24-02-2024 08:13:00,0,2.2
24-02-2024 08:14:00,0.85,319.5
24-02-2024 08:15:00,0.58,53
24-02-2024 08:16:00,1.99,260.4
24-02-2024 08:17:00,1.36,237
24-02-2024 08:18:00,0.87,250
24-02-2024 08:19:00,1.36,252
24-02-2024 08:20:00,1.19,324.5
24-02-2024 08:21:00,0.65,187.4
24-02-2024 08:22:00,2.33,314.1
24-02-2024 08:23:00,1.1,203
24-02-2024 08:24:00,0.04,257
24-02-2024 08:25:00,1.45,254.2
24-02-2024 08:26:00,1.16,251.6
24-02-2024 08:27:00,1.54,172.4
24-02-2024 08:28:00,0.83,37.8
24-02-2024 08:29:00,0.56,0.4
24-02-2024 08:30:00,0,82
24-02-2024 08:31:00,0.63,224.6
24-02-2024 08:32:00,0.87,186.6
24-02-2024 08:33:00,0.87,116.5
24-02-2024 08:34:00,1.77,213.8
24-02-2024 08:35:00,0.27,186.6
24-02-2024 08:36:00,0.65,256.2
24-02-2024 08:37:00,0.92,346.8
24-02-2024 08:38:00,0.29,345.2
24-02-2024 08:39:00,1.1,204.3
24-02-2024 08:40:00,3.47,187.7
24-02-2024 08:41:00,3.31,180.6
24-02-2024 08:42:00,1.39,160.1
24-02-2024 08:43:00,2.51,192.8
24-02-2024 08:44:00,1.21,279.9
24-02-2024 08:45:00,0.18,285.2
24-02-2024 08:46:00,3.04,239.1
24-02-2024 08:47:00,0.63,193
24-02-2024 08:48:00,0.65,284.2
24-02-2024 08:49:00,0.76,263.7
24-02-2024 08:50:00,0,265
24-02-2024 08:51:00,0.29,265
24-02-2024 08:52:00,0.49,265
24-02-2024 08:53:00,0.45,60.8
24-02-2024 08:54:00,0.58,313.2
24-02-2024 08:55:00,2.21,169.8
24-02-2024 08:56:00,0.31,229
24-02-2024 08:57:00,0.76,243.2
24-02-2024 08:58:00,2.01,148.7
24-02-2024 08:59:00,2.21,178.4
24-02-2024 09:00:00,2.51,152.4
24-02-2024 09:01:00,1.61,141.2
24-02-2024 09:02:00,3.31,191.6
24-02-2024 09:03:00,3.78,182.7
24-02-2024 09:04:00,3.47,198
24-02-2024 09:05:00,4.05,174.5
24-02-2024 09:06:00,2.35,184.5
24-02-2024 09:07:00,3.4,163.1
24-02-2024 09:08:00,2.39,184.1
24-02-2024 09:09:00,3.94,160.1
24-02-2024 09:10:00,1.97,209.3
24-02-2024 09:11:00,3.27,141.9
24-02-2024 09:12:00,2.33,185.5
24-02-2024 09:13:00,1.39,158.8
24-02-2024 09:14:00,0.78,157.5
24-02-2024 09:15:00,2.57,200.2
24-02-2024 09:16:00,0.83,120.9
24-02-2024 09:17:00,2.13,58.5
24-02-2024 09:18:00,0.87,227.1
24-02-2024 09:19:00,0.58,207.1
24-02-2024 09:20:00,1.25,131.5
24-02-2024 09:21:00,1.7,113.2
24-02-2024 09:22:00,3.47,128.6
24-02-2024 09:23:00,0.56,53.3
24-02-2024 09:24:00,3.49,185.7
24-02-2024 09:25:00,4.52,175.3
24-02-2024 09:26:00,1.92,159
24-02-2024 09:27:00,1.54,205.4
24-02-2024 09:28:00,5.17,155.8
24-02-2024 09:29:00,4.54,138.3
24-02-2024 09:30:00,5.79,186.2
24-02-2024 09:31:00,5.44,149.6
24-02-2024 09:32:00,4.18,155.6
24-02-2024 09:33:00,0.31,148.2
24-02-2024 09:34:00,1.61,150.6
24-02-2024 09:35:00,1.19,97.3
24-02-2024 09:36:00,6.42,128.3
24-02-2024 09:37:00,3.31,165.9
24-02-2024 09:38:00,2.66,262.5
24-02-2024 09:39:00,1.61,125.1
24-02-2024 09:40:00,2.46,175.7
24-02-2024 09:41:00,2.35,173.8
24-02-2024 09:42:00,3.62,178.6
24-02-2024 09:43:00,1.92,99.4
24-02-2024 09:44:00,2.93,122.4
24-02-2024 09:45:00,0.76,59
24-02-2024 09:46:00,1.01,258.1
24-02-2024 09:47:00,2.17,85.4
24-02-2024 09:48:00,1.9,1.8
24-02-2024 09:49:00,2.84,53.5
24-02-2024 09:50:00,2.46,46.4
24-02-2024 09:51:00,3.06,25.8
24-02-2024 09:52:00,1.16,191.9
24-02-2024 09:53:00,1.59,0.4
24-02-2024 09:54:00,0.16,351.1
24-02-2024 09:55:00,1.54,196.2
24-02-2024 09:56:00,2.3,112.9
24-02-2024 09:57:00,1.25,70.4
24-02-2024 09:58:00,3.87,64.1
24-02-2024 09:59:00,0.65,102.4
24-02-2024 10:00:00,3.44,124
24-02-2024 10:01:00,1.66,138.6
24-02-2024 10:02:00,1.86,126.4
24-02-2024 10:03:00,1.43,193.3
24-02-2024 10:04:00,1.88,182.9
24-02-2024 10:05:00,3,168.5
24-02-2024 10:06:00,1.39,208.9
24-02-2024 10:07:00,3.4,170.4
24-02-2024 10:08:00,4.63,155.3
24-02-2024 10:09:00,3.31,167
24-02-2024 10:10:00,1.97,156.8
24-02-2024 10:11:00,0.87,21.8
24-02-2024 10:12:00,5.08,153.5
24-02-2024 10:13:00,3.4,190.4
24-02-2024 10:14:00,3.22,176.1
24-02-2024 10:15:00,1.99,155.5
24-02-2024 10:16:00,2.01,141.5
24-02-2024 10:17:00,8.79,145.2
24-02-2024 10:18:00,5.48,151.3
24-02-2024 10:19:00,4.09,180.3
24-02-2024 10:20:00,2.33,214
24-02-2024 10:21:00,4.41,159.8
24-02-2024 10:22:00,4.65,183.7
24-02-2024 10:23:00,5.26,174.7
24-02-2024 10:24:00,4.97,192.5
24-02-2024 10:25:00,2.26,154.4
24-02-2024 10:26:00,6.06,148.3
24-02-2024 10:27:00,3.56,156.3
24-02-2024 10:28:00,6.04,146.4
24-02-2024 10:29:00,0.92,72.8
24-02-2024 10:30:00,5.19,158.8
24-02-2024 10:31:00,3.65,152
24-02-2024 10:32:00,5.23,178.2
24-02-2024 10:33:00,3.04,186.8
24-02-2024 10:34:00,1.79,193
24-02-2024 10:35:00,1.1,44.7
24-02-2024 10:36:00,1.19,227.6
24-02-2024 10:37:00,2.98,163
24-02-2024 10:38:00,2.48,50.7
24-02-2024 10:39:00,3,176.6
24-02-2024 10:40:00,6.11,197.2
24-02-2024 10:41:00,3.96,190.2
24-02-2024 10:42:00,1.99,127.2
24-02-2024 10:43:00,4.61,171
24-02-2024 10:44:00,5.59,190.9
24-02-2024 10:45:00,3,170.8
24-02-2024 10:46:00,3.29,238.4
24-02-2024 10:47:00,1.88,217.2
24-02-2024 10:48:00,3.36,189.6
24-02-2024 10:49:00,4,206.4
24-02-2024 10:50:00,4.88,131.7
24-02-2024 10:51:00,2.53,172.6
24-02-2024 10:52:00,1.39,140
24-02-2024 10:53:00,1.99,84.1
24-02-2024 10:54:00,1.03,196
24-02-2024 10:55:00,1.41,280.3
24-02-2024 10:56:00,0.89,325.6
24-02-2024 10:57:00,2.19,172.5
24-02-2024 10:58:00,0.92,178.7
24-02-2024 10:59:00,1.79,183.2
24-02-2024 11:00:00,0,189.7
24-02-2024 11:01:00,2.62,175.5
24-02-2024 11:02:00,3.02,183.1
24-02-2024 11:03:00,3.44,157.6
24-02-2024 11:04:00,3.27,204.1
24-02-2024 11:05:00,0.69,230.6
24-02-2024 11:06:00,1.05,172.5
24-02-2024 11:07:00,2.68,172.3
24-02-2024 11:08:00,0.29,205.1
24-02-2024 11:09:00,0.51,322.2
24-02-2024 11:10:00,2.24,173.9
24-02-2024 11:11:00,5.61,185.7
24-02-2024 11:12:00,2.51,140.3
24-02-2024 11:13:00,1.39,131.9
